,Country Name,Country Code,Series Name,YR1993,YR1997,YR2001,YR2005,YR2009,YR2013,YR2017,YR2020
0,Afghanistan,AFG,GDP,..,..,..,6209137624.77181,12416161048.8412,20146404996.223,18753469630.2586,20116137325.8206
1,Afghanistan,AFG,POP,15816601,19357126,21606992,25654274,28394806,32269592,36296111,38928341
2,Afghanistan,AFG,INC,..,..,..,..,397.870876381663,573.372758018691,486.034777839794,475.620362308779
3,Albania,ALB,GDP,1185315468.46295,2258513974.0968,3922100793.5403,8052073539.38058,12044208085.864,12776220507.0162,13019689336.6919,15131866270.5936
4,Albania,ALB,POP,3227287,3148281,3060173,3011487,2927519,2895092,2873457,2837849
5,Albania,ALB,INC,315.43672009974,640.820869194811,1184.24480199817,2431.70614028901,3512.41004362752,3760.37690738146,3712.73301736609,4208.45661142323
6,Algeria,DZA,GDP,49945599428.5812,48177612042.1507,54744712814.8676,103198223709.439,137211035770.034,209755003250.664,170097014589.134,145009181490.62
7,Algeria,DZA,POP,27635517,29742980,31451513,33149720,35333882,38140135,41389174,43851043
8,Algeria,DZA,INC,1432.33421096694,1242.80333609071,1320.78743905098,2066.87906412681,2952.57241026197,4081.07794924724,3342.41791429143,2735.0944551185
9,American Samoa,ASM,GDP,..,..,..,500000000,675000000,638000000,612000000,709000000
10,American Samoa,ASM,POP,51025,55227,58496,59557,56675,55717,55617,55197
11,American Samoa,ASM,INC,..,..,..,..,..,..,..,..
12,Andorra,AND,GDP,1007025755.00065,1180597272.72727,1546926174.49664,3159905484.39249,3674409558.21061,3193512950.02419,3000162081.11976,2891001149.3611
13,Andorra,AND,POP,60974,64318,67344,78871,84461,80770,76997,77265
14,Andorra,AND,INC,..,..,..,..,..,..,..,..
15,Angola,AGO,GDP,5768720421.61367,7648377412.83277,8936063723.20121,36970918699.2523,70307166934.3311,133401594460.922,68972763787.1547,53619071176.139
16,Angola,AGO,POP,13075044,14871572,16945753,19433604,22514275,26015786,29816769,32866268
17,Angola,AGO,INC,..,259.971433415641,266.545927311833,949.366900564569,1821.95769052509,3174.47488473934,2975.44750211604,1122.79251732088
18,Antigua and Barbuda,ATG,GDP,535174074.074074,680618518.518518,800481481.481481,1022962962.96296,1228329629.62963,1181448148.14815,1467977777.77778,1370281481.48148
19,Antigua and Barbuda,ATG,POP,65777,71707,77212,81462,86743,91510,95425,97928
20,Antigua and Barbuda,ATG,INC,..,..,..,..,..,..,..,..
21,Argentina,ARG,GDP,236741715015.015,292859000000,268696750000,198737095012.282,332976484577.619,552025140252.246,643628665302.155,389591035520.675
22,Argentina,ARG,POP,33970103,35657438,37275644,38892924,40482786,42202935,44044811,45376763
23,Argentina,ARG,INC,6194.16840479609,7087.99780879734,5997.66877673955,3781.91553287966,6849.05394686939,10851.0717236419,12493.7720428652,7211.95593299884
24,Armenia,ARM,GDP,1201312829.27524,1639492444.76152,2118467913.37873,4900469950.09033,8647936747.98704,11121465767.4067,11527458565.7334,12641209802.112
25,Armenia,ARM,POP,3363111,3133081,3050686,2981262,2888094,2897593,2944789,2963234
26,Armenia,ARM,INC,..,470.789224089613,605.406218807635,1482.56258608571,2742.76684973496,3556.28894874618,3515.98221484361,3608.49912138464
27,Aruba,ABW,GDP,1083240223.46369,1531843575.41899,1896648044.69274,2359776536.31285,2553631284.9162,2727932960.89385,3092178770.94972,2496648044.69274
28,Aruba,ABW,POP,72495,85450,92892,100028,101452,103165,105361,106766
29,Aruba,ABW,INC,13238.5142917837,15636.1309511373,17925.3194628618,16126.371531771,21283.6952296727,22106.9830177433,24584.1210978298,..
30,Australia,AUS,GDP,312126194491.287,435323994365.315,379083932596.329,695075176665.163,928042998085.702,1576335282651.07,1326882872011.46,1327836171068.51
31,Australia,AUS,POP,17667000,18517000,19413000,20394800,21691700,23128129,24601860,25693267
32,Australia,AUS,INC,13975.0862007279,18617.4590009322,15442.3144917929,26538.6876452736,33354.0383384188,53834.8070093482,41987.8157786302,40141.1574837384
33,Austria,AUT,GDP,190379720809.18,212790348404.555,197508773215.323,316092273276.015,401758735822.211,430190979705.962,417261151844.977,433258467676.515
34,Austria,AUT,POP,7905633,7968041,8042293,8227829,8343323,8479823,8797566,8916864
35,Austria,AUT,INC,20261.5066863414,22304.4512052732,20177.3033430096,31807.6729803242,39496.6248144407,41654.5422020451,38311.8452930536,38848.2014876238
36,Azerbaijan,AZE,GDP,1570000000,3962238113.16021,5707720390.8515,13245716099.0057,44291490420.5026,74164435946.4627,40865558912.3867,42693000000
37,Azerbaijan,AZE,POP,7494800,7838250,8111200,8391850,8947243,9416801,9854033,10093121
38,Azerbaijan,AZE,INC,..,..,462.994064453432,956.915598305492,3331.14893708963,5591.72890810391,3198.10574333415,3489.80508828885
39,"Bahamas, The",BHS,GDP,3092000000,6332360000,8317830000,9836200000,9981960000,10562800000,12357600000,9699500000
40,"Bahamas, The",BHS,POP,271065,287363,302618,324848,349600,367162,381749,393248
41,"Bahamas, The",BHS,INC,10266.4632914854,20276.4323566355,25044.9502007782,27716.6566194885,26079.2070624663,25734.3630779149,28564.4205920953,22404.7768487323
42,Bahrain,BHR,GDP,5200265957.44681,6349202393.61702,8976196808.51064,15968723404.2553,22938218085.1064,32539468085.1064,35473776595.7447,34723357446.8085
43,Bahrain,BHR,POP,536212,594927,697550,889157,1185075,1315029,1494077,1701583
44,Bahrain,BHR,INC,6511.86589796584,7434.03335811646,9028.80128694193,12414.797882027,13081.8943756854,16719.9433522293,18505.5827146805,15423.9237293933
45,Bangladesh,BGD,GDP,33166519417.9894,48244309133.4895,53991289844.3291,69442943089.4309,102477791472.39,149990451022.29,293754646182.389,373902134700.41
46,Bangladesh,BGD,POP,110350641,120160571,130088709,139035505,145924795,152761413,159685421,164689383
47,Bangladesh,BGD,INC,284.227079978742,380.613295311187,393.779371464278,481.152185528345,697.986276706162,972.322999933183,1490.6915283444,2032.59399568833
48,Barbados,BRB,GDP,2063342117.03873,2498384129.66738,3054500000,3819500000,4465657314.64407,4677248301.89959,4981588899.82409,4689534961.75956
49,Barbados,BRB,POP,263869,268183,272494,276320,281107,284294,286229,287371
50,Barbados,BRB,INC,7015.2691459257,8205.01277922266,9770.30244191035,11841.0947086017,13615.7990892733,14043.2163523228,14801.8766030072,13003.3662705796
