,Year,Datetime,Home Team Name,Away Team Name,Home Team Goals,Away Team Goals
0,1930,13 Jul 1930 - 15:00 ,France,Mexico,4.0,1.0
1,1930,13 Jul 1930 - 15:00 ,USA,Belgium,3.0,0.0
2,1930,14 Jul 1930 - 12:45 ,Yugoslavia,Brazil,2.0,1.0
3,1930,14 Jul 1930 - 14:50 ,Romania,Peru,3.0,1.0
4,1930,15 Jul 1930 - 16:00 ,Argentina,France,1.0,0.0
5,1930,16 Jul 1930 - 14:45 ,Chile,Mexico,3.0,0.0
6,1930,17 Jul 1930 - 12:45 ,Yugoslavia,Bolivia,4.0,0.0
7,1930,17 Jul 1930 - 14:45 ,USA,Paraguay,3.0,0.0
8,1930,18 Jul 1930 - 14:30 ,Uruguay,Peru,1.0,0.0
9,1930,19 Jul 1930 - 12:50 ,Chile,France,1.0,0.0
10,1930,19 Jul 1930 - 15:00 ,Argentina,Mexico,6.0,3.0
11,1930,20 Jul 1930 - 13:00 ,Brazil,Bolivia,4.0,0.0
12,1930,20 Jul 1930 - 15:00 ,Paraguay,Belgium,1.0,0.0
13,1930,21 Jul 1930 - 14:50 ,Uruguay,Romania,4.0,0.0
14,1930,22 Jul 1930 - 14:45 ,Argentina,Chile,3.0,1.0
15,1930,26 Jul 1930 - 14:45 ,Argentina,USA,6.0,1.0
16,1930,27 Jul 1930 - 14:45 ,Uruguay,Yugoslavia,6.0,1.0
17,1930,30 Jul 1930 - 14:15 ,Uruguay,Argentina,4.0,2.0
18,1934,27 May 1934 - 16:30 ,Austria,France,3.0,2.0
19,1934,27 May 1934 - 16:30 ,Hungary,Egypt,4.0,2.0
20,1934,27 May 1934 - 16:30 ,Switzerland,Netherlands,3.0,2.0
21,1934,27 May 1934 - 16:30 ,Sweden,Argentina,3.0,2.0
22,1934,27 May 1934 - 16:30 ,Germany,Belgium,5.0,2.0
23,1934,27 May 1934 - 16:30 ,Spain,Brazil,3.0,1.0
24,1934,27 May 1934 - 16:30 ,Italy,USA,7.0,1.0
25,1934,27 May 1934 - 16:30 ,Czechoslovakia,Romania,2.0,1.0
26,1934,31 May 1934 - 16:30 ,Czechoslovakia,Switzerland,3.0,2.0
27,1934,31 May 1934 - 16:30 ,Germany,Sweden,2.0,1.0
28,1934,31 May 1934 - 16:30 ,Italy,Spain,1.0,1.0
29,1934,31 May 1934 - 16:30 ,Austria,Hungary,2.0,1.0
30,1934,01 Jun 1934 - 16:30 ,Italy,Spain,1.0,0.0
31,1934,03 Jun 1934 - 16:30 ,Italy,Austria,1.0,0.0
32,1934,03 Jun 1934 - 16:30 ,Czechoslovakia,Germany,3.0,1.0
33,1934,07 Jun 1934 - 18:00 ,Germany,Austria,3.0,2.0
34,1934,10 Jun 1934 - 17:30 ,Italy,Czechoslovakia,2.0,1.0
35,1938,04 Jun 1938 - 17:00 ,Switzerland,Germany,1.0,1.0
36,1938,05 Jun 1938 - 17:00 ,Hungary,Dutch East Indies,6.0,0.0
37,1938,05 Jun 1938 - 17:00 ,France,Belgium,3.0,1.0
38,1938,05 Jun 1938 - 17:00 ,Cuba,Romania,3.0,3.0
39,1938,05 Jun 1938 - 17:00 ,Italy,Norway,2.0,1.0
40,1938,05 Jun 1938 - 17:30 ,Brazil,Poland,6.0,5.0
41,1938,05 Jun 1938 - 18:30 ,Czechoslovakia,Netherlands,3.0,0.0
42,1938,09 Jun 1938 - 18:00 ,Cuba,Romania,2.0,1.0
43,1938,09 Jun 1938 - 18:00 ,Switzerland,Germany,4.0,2.0
44,1938,12 Jun 1938 - 17:00 ,Brazil,Czechoslovakia,1.0,1.0
45,1938,12 Jun 1938 - 17:00 ,Hungary,Switzerland,2.0,0.0
46,1938,12 Jun 1938 - 17:00 ,Sweden,Cuba,8.0,0.0
