,Year,Datetime,Home Team Name,Away Team Name,Home Team Continent,Away Team Continent,Home_GDP,Home_POP,Home_INC,Away_GDP,Away_POP,Away_INC,Home_RK,Away_RK,Home_Rating,Away_Rating,Home_AverageRank,Away_AverageRank,Home_AverageRating,Away_AverageRating,Home_YearRank,Away_YearRank,Home_YearRating,Away_YearRating,Home_MatchesTotal,Away_MatchesTotal,Home_MathcesHome,Away_MathcesHome,Home_MatchesAway,Away_MatchesAway,Home_MatchesNeutral,Away_MatchesNeutral,Home_MatchesWins,Away_MatchesWins,Home_MatchesLosses,Away_MatchesLosses,Home_MatchesDraws,Away_MatchesDraws,Home_GoalsFor,Away_GoalsFor,Home_GoalsAgainst,Away_GoalsAgainst,Home_FIFA_RK,Away_FIFA_RK,Home_FIFA_PTS,Away_FIFA_PTS,Home Team Goals,Away Team Goals
0,1994,1994-06-17 19:30:00,Spain,"Korea, Rep.",Europe,Asia,525075636030.854,39361262.0,11566.0964820188,392666101884.959,44194628.0,7543.97746473454,9.0,39.0,1912.0,1659.0,8.0,36.0,1912.0,1663.0,7.0,0.0,82.0,-1.0,379.0,550.0,179.0,139.0,156.0,140.0,44.0,271.0,190.0,330.0,94.0,100.0,95.0,120.0,695.0,1097.0,408.0,484.0,5.0,37.0,56.0,38.0,2.0,2.0
1,1994,1994-06-17 15:00:00,Germany,Bolivia,Europe,South America,2071323790370.28,81156363.0,21217.5746154056,5734676631.26304,7312857.0,695.1029741532,1.0,30.0,2015.0,1705.0,9.0,61.0,1883.0,1456.0,2.0,33.0,21.0,155.0,612.0,208.0,269.0,75.0,261.0,66.0,82.0,67.0,343.0,49.0,145.0,117.0,124.0,42.0,1378.0,227.0,786.0,484.0,1.0,43.0,60.0,35.0,1.0,0.0
2,1994,1994-06-18 11:30:00,United States,Switzerland,North America,Europe,6858559000000.0,259919000.0,21808.806768977,272466458446.129,6938265.0,,54.0,16.0,1619.0,1847.0,47.0,28.0,1589.0,1649.0,-21.0,3.0,-68.0,29.0,284.0,549.0,130.0,270.0,125.0,255.0,29.0,24.0,87.0,166.0,138.0,276.0,59.0,107.0,347.0,793.0,545.0,1102.0,23.0,12.0,47.0,54.0,1.0,1.0
3,1994,1994-06-18 16:00:00,Italy,Ireland,Europe,Europe,1064958075550.63,56831821.0,15689.8087362547,52417477613.676,3576261.0,11914.8153483704,2.0,19.0,2000.0,1841.0,8.0,22.0,1901.0,1590.0,2.0,-8.0,20.0,-49.0,507.0,401.0,246.0,199.0,192.0,182.0,69.0,20.0,270.0,126.0,107.0,190.0,130.0,85.0,942.0,529.0,557.0,826.0,4.0,14.0,57.0,53.0,0.0,1.0
4,1994,1994-06-18 19:30:00,Colombia,Romania,South America,Europe,66446804802.5747,35091272.0,1600.02476456049,26362894736.8421,22763280.0,847.00689191349,5.0,21.0,1933.0,1827.0,66.0,28.0,1477.0,1689.0,20.0,-3.0,158.0,2.0,235.0,446.0,85.0,183.0,84.0,232.0,66.0,31.0,72.0,184.0,100.0,152.0,63.0,110.0,274.0,728.0,367.0,657.0,17.0,7.0,51.0,55.0,1.0,3.0
5,1994,1994-06-19 12:30:00,Belgium,Morocco,Europe,Africa,224721795708.955,10084475.0,19163.5340717146,31655473663.8348,26155204.0,1035.94482421875,21.0,35.0,1827.0,1672.0,23.0,38.0,1730.0,1661.0,-8.0,20.0,-48.0,76.0,530.0,338.0,261.0,136.0,236.0,122.0,33.0,80.0,210.0,149.0,217.0,89.0,103.0,100.0,941.0,481.0,988.0,350.0,27.0,28.0,44.0,44.0,1.0,0.0
6,1994,1994-06-19 16:00:00,Norway,Mexico,Europe,North America,120579072750.596,4311991.0,21149.9021087275,500736065605.341,88625440.0,4903.9868187735,15.0,10.0,1854.0,1891.0,40.0,22.0,1569.0,1746.0,13.0,14.0,96.0,104.0,531.0,428.0,263.0,173.0,248.0,142.0,20.0,113.0,167.0,219.0,258.0,108.0,106.0,101.0,817.0,823.0,1093.0,461.0,6.0,16.0,56.0,51.0,1.0,0.0
7,1994,1994-06-19 19:30:00,Cameroon,Sweden,Africa,Europe,16181813512.4483,12864091.0,1031.60855864282,212953336588.123,8718561.0,19728.4177741595,43.0,12.0,1649.0,1883.0,55.0,15.0,1568.0,1784.0,-5.0,-3.0,-13.0,-20.0,294.0,706.0,93.0,330.0,112.0,325.0,89.0,51.0,129.0,350.0,78.0,218.0,87.0,138.0,471.0,1580.0,344.0,1065.0,24.0,10.0,46.0,55.0,2.0,2.0
8,1994,1994-06-20 19:30:00,Netherlands,Saudi Arabia,Europe,Asia,353550169672.52,15290368.0,19249.7571957292,132967901415.22,17763297.0,6093.56219603084,3.0,34.0,1995.0,1680.0,18.0,91.0,1798.0,1405.0,2.0,18.0,27.0,69.0,512.0,259.0,246.0,91.0,219.0,41.0,47.0,127.0,238.0,119.0,170.0,76.0,104.0,64.0,1075.0,405.0,802.0,299.0,2.0,34.0,59.0,40.0,2.0,1.0
9,1994,1994-06-20 16:00:00,Brazil,Russian Federation,South America,Europe,368295777770.079,156849086.0,2032.88656301485,435083713850.837,148458777.0,1566.94567871094,4.0,18.0,1950.0,1842.0,5.0,23.0,1975.0,1719.0,-2.0,-6.0,-49.0,-43.0,590.0,444.0,244.0,144.0,192.0,223.0,154.0,77.0,359.0,240.0,108.0,92.0,123.0,112.0,1270.0,801.0,608.0,436.0,3.0,19.0,59.0,50.0,2.0,0.0
